Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
1-Feb-21,EQ,912,926.95,889,905.25,923.75,921.45,907.55,1023.7,288.85,2096640,"1,902,811,378.90",61110
29-Jan-21,EQ,950,954.7,900.45,944.5,907,905.25,926.53,1023.7,288.85,3208278,"2,972,575,091.70",67855
28-Jan-21,EQ,941.3,955,926.25,959.6,948.45,944.5,942.22,1023.7,288.85,3202739,"3,017,696,581.05",65726
27-Jan-21,EQ,998.6,1000,948.25,998.6,952.05,959.6,964.62,1023.7,288.85,4705789,"4,539,278,243.80",105042
25-Jan-21,EQ,935,1023.7,932,923.8,996.5,998.6,987.05,1023.7,288.85,14754225,"14,563,158,937.65",256052
22-Jan-21,EQ,904.75,948,880.15,902.25,926.95,923.8,918.03,996.85,288.85,4868823,"4,469,719,738.45",111200
21-Jan-21,EQ,935,938,897.5,930,903,902.25,918.73,996.85,288.85,2019465,"1,855,335,649.90",37709
20-Jan-21,EQ,926.2,942,923.7,924.25,929.8,930,933.8,996.85,288.85,1995884,"1,863,750,894.65",36174
19-Jan-21,EQ,921.4,931.4,918.2,917.3,928,924.25,923.94,996.85,288.85,1408821,"1,301,660,605.55",24094
18-Jan-21,EQ,933.8,937.9,900.5,936,910.35,917.3,917.62,996.85,288.85,2669315,"2,449,404,218.15",50437
15-Jan-21,EQ,950.55,955,924.3,959.25,933.9,936,940.28,996.85,288.85,3931585,"3,696,801,615.90",83558
14-Jan-21,EQ,941,968.75,928.85,947.2,958.55,959.25,949.1,996.85,288.85,2058721,"1,953,935,098.60",45397
13-Jan-21,EQ,960.2,974.9,928.35,958.25,940.55,947.2,954.14,996.85,288.85,2998390,"2,860,869,049.50",56881
12-Jan-21,EQ,969.5,975,952.7,965.2,960,958.25,963.26,996.85,288.85,2219387,"2,137,843,872.45",41913
11-Jan-21,EQ,950.2,967,940.15,945.45,966,965.2,957.29,996.85,288.85,2676919,"2,562,598,721.05",61429
8-Jan-21,EQ,957,967,940.6,957.45,946.25,945.45,952.65,996.85,288.85,2685467,"2,558,298,330.30",52721
7-Jan-21,EQ,970.7,977.55,954.5,968.85,959.5,957.45,962.04,996.85,288.85,1797121,"1,728,904,884.80",40923
6-Jan-21,EQ,979.9,983.6,954.45,979.35,966.4,968.85,969.49,996.85,288.85,2720088,"2,637,087,756.75",44262
5-Jan-21,EQ,966,996.85,961,965.75,978,979.35,981.27,996.85,288.85,5432632,"5,330,869,469.80",87621
4-Jan-21,EQ,936.1,970,926.65,927.75,967.5,965.75,949.75,970,288.85,4065761,"3,861,445,259.15",76440
