Date,series,OPEN,HIGH,LOW,close
1-Feb-21,EQ,560.65,586.95,552.85,577.2
29-Jan-21,EQ,552.5,589.75,552.1,560.7
28-Jan-21,EQ,523.9,534.65,521.1,529.1
27-Jan-21,EQ,543,555.55,526.8,531.5
25-Jan-21,EQ,532.95,548.05,519.35,542.75
22-Jan-21,EQ,514,535,512.05,521.95
21-Jan-21,EQ,513.95,517.95,504.8,509.6
20-Jan-21,EQ,515.45,521.9,507,509.35
19-Jan-21,EQ,502,515,500,512.8
18-Jan-21,EQ,506.8,506.8,488.6,499.7
15-Jan-21,EQ,512.9,515.25,498.3,507.3
14-Jan-21,EQ,515,519.35,504,513
13-Jan-21,EQ,518,526.55,507,511.35
12-Jan-21,EQ,520.95,533.85,516.5,518.75
11-Jan-21,EQ,513.9,527.4,508,521.65
8-Jan-21,EQ,506.4,517,500.2,513.35
7-Jan-21,EQ,493.5,506.4,489.9,499.3
6-Jan-21,EQ,492.2,495.2,481.8,488.15
5-Jan-21,EQ,492.6,496.75,488.05,491.7
4-Jan-21,EQ,497.5,499.35,487.55,495.45
1-Jan-21,EQ,486,492,486,490.75
31-Dec-20,EQ,486.5,494,483.55,485
30-Dec-20,EQ,489.45,489.45,480,486.5
29-Dec-20,EQ,490.15,492.1,482.3,486.75
28-Dec-20,EQ,483.7,488.5,479.75,483.1
24-Dec-20,EQ,486.6,495,477.6,479.75
23-Dec-20,EQ,465,486.3,460,483.5
22-Dec-20,EQ,462,471.65,445.5,464.9
21-Dec-20,EQ,489,489,453.4,464.9
18-Dec-20,EQ,490.05,494.75,482.8,489.1
17-Dec-20,EQ,495.95,500.05,487.2,490.05
16-Dec-20,EQ,488,495.35,485.05,494.3
15-Dec-20,EQ,487.85,492.5,482.1,484
14-Dec-20,EQ,489.8,489.9,477.5,487.65
11-Dec-20,EQ,505.5,513.35,478.6,484.2
10-Dec-20,EQ,497,502.55,493,498.1
9-Dec-20,EQ,512.7,514,496.55,498
8-Dec-20,EQ,510.2,519.5,505.85,507.85
7-Dec-20,EQ,501,517.3,497,510.85
4-Dec-20,EQ,499.05,503.75,492.65,498.1
3-Dec-20,EQ,491.9,501.55,487.5,498.15
2-Dec-20,EQ,505,508.9,485.15,488.35
1-Dec-20,EQ,502,506.8,492.55,500.35
27-Nov-20,EQ,475.1,504.8,475,499.65
26-Nov-20,EQ,476.5,478.65,472.6,474.65
25-Nov-20,EQ,474.3,479,468.6,475.15
24-Nov-20,EQ,475.8,477.9,467.75,471.5
23-Nov-20,EQ,478.1,479.05,471.3,476.75
20-Nov-20,EQ,477.9,481.65,469.65,478.45
19-Nov-20,EQ,478,490,472.3,475.1
18-Nov-20,EQ,472.35,485.7,471.45,479.55
17-Nov-20,EQ,479.5,481.45,469.3,475.3
14-Nov-20,EQ,481,482.8,477,478.85
13-Nov-20,EQ,482.4,485,476.3,477.8
12-Nov-20,EQ,477.4,483.9,473.8,481.8
11-Nov-20,EQ,478.85,490.8,473.6,477.45
10-Nov-20,EQ,479.5,482.75,474.6,478.85
9-Nov-20,EQ,480.5,483,475.1,478.95
6-Nov-20,EQ,476.6,481.75,472.1,479.85
5-Nov-20,EQ,473.9,479.9,468.35,476.45
4-Nov-20,EQ,466.95,473,463,470.95
3-Nov-20,EQ,456.9,470.8,452.55,465.7
2-Nov-20,EQ,459.5,462,447,458.4
30-Oct-20,EQ,425,464.55,425,455.5
29-Oct-20,EQ,424.6,428,421.15,422.35
28-Oct-20,EQ,430.1,439.4,425,427.25
27-Oct-20,EQ,430.5,439.4,421.8,432.85
26-Oct-20,EQ,448.95,448.95,425.6,429.7
23-Oct-20,EQ,445.5,450.75,441.05,444.65
22-Oct-20,EQ,445.9,452.6,438,442.4
21-Oct-20,EQ,454,457.95,442.6,446.1
20-Oct-20,EQ,455,459.4,449.15,452.2
19-Oct-20,EQ,466,467.9,450.95,454.85
16-Oct-20,EQ,458.5,466.6,456.05,463.25
15-Oct-20,EQ,460.5,467.8,456.05,458.6
14-Oct-20,EQ,462,465,454,461.55
13-Oct-20,EQ,469.9,472.4,457.45,459.35
12-Oct-20,EQ,474.5,478.5,462.75,469
9-Oct-20,EQ,474.95,479.15,467.65,471.5
8-Oct-20,EQ,481.55,486,470.3,475.2
7-Oct-20,EQ,470.5,482.8,467,478.75
6-Oct-20,EQ,476,482.95,469.8,471.6
5-Oct-20,EQ,485,485.2,464.95,473.55
1-Oct-20,EQ,473,489.9,472,479.9
30-Sep-20,EQ,468.35,479.35,464.85,468.3
29-Sep-20,EQ,475,480.95,468.2,470.25
28-Sep-20,EQ,452,474.25,450.95,471.45
25-Sep-20,EQ,438.5,450.9,431.6,446.95
24-Sep-20,EQ,439.55,439.55,426,435.25
23-Sep-20,EQ,449,450,434,442.4
22-Sep-20,EQ,448.5,450.25,432.6,442.85
21-Sep-20,EQ,457.3,459.75,446.3,453.5
18-Sep-20,EQ,461.2,468,454.5,457.3
17-Sep-20,EQ,460,465.6,454.2,457.05
16-Sep-20,EQ,455.45,472,453.8,462.15
15-Sep-20,EQ,458,460,447.65,455.45
14-Sep-20,EQ,448.2,458.9,446.25,456.6
11-Sep-20,EQ,435,446.95,435,444.25
10-Sep-20,EQ,445.7,445.7,430.2,437.9
9-Sep-20,EQ,430,442,425.6,438.15
8-Sep-20,EQ,440.4,441.3,430.55,434
7-Sep-20,EQ,434.9,441.5,431.05,440.4
4-Sep-20,EQ,429.35,442,423.4,433.9
3-Sep-20,EQ,441.5,445.55,433.7,435.35
2-Sep-20,EQ,435.1,441.4,427,437.1
1-Sep-20,EQ,437.45,442.5,428,440.4
31-Aug-20,EQ,453,454.9,429.5,432.85
28-Aug-20,EQ,459,463,448.35,449.75
27-Aug-20,EQ,467.45,467.95,455,459.15
26-Aug-20,EQ,469.45,477,458.2,467.5
25-Aug-20,EQ,450,460.05,441.75,445.55
24-Aug-20,EQ,456,456,447.15,448.8
21-Aug-20,EQ,452.55,461.5,446.75,453.3
20-Aug-20,EQ,431.55,452.95,427.55,450.05
19-Aug-20,EQ,435,442.2,433,434.65
18-Aug-20,EQ,426.5,435.95,423.7,433.4
17-Aug-20,EQ,430,430,415.05,426.8
14-Aug-20,EQ,432,434.4,415.6,418.1
13-Aug-20,EQ,421.3,436.4,418,430.1
12-Aug-20,EQ,416.7,422.8,409.05,417.65
11-Aug-20,EQ,419.2,424,413.15,416.9
10-Aug-20,EQ,425,426.95,415.2,418.65
7-Aug-20,EQ,419,429.9,415.15,421.5
6-Aug-20,EQ,415,422,403.45,418.85
5-Aug-20,EQ,404.8,412,400.15,409.35
4-Aug-20,EQ,397.35,404.2,391.75,398.95
3-Aug-20,EQ,392,399.15,388.05,396.2
31-Jul-20,EQ,404.65,405.95,385,387.5
30-Jul-20,EQ,398,407.9,383.7,402.15
29-Jul-20,EQ,406,414.5,397.45,402.95
28-Jul-20,EQ,397,409,395.4,406.25
27-Jul-20,EQ,398.15,400.2,390.6,397.1
24-Jul-20,EQ,403,404.55,395,398.15
23-Jul-20,EQ,398.75,408.65,395.85,405.75
22-Jul-20,EQ,405.5,405.5,390,397.85
21-Jul-20,EQ,401.4,410.95,401,402.95
20-Jul-20,EQ,388.4,399.85,387.25,398.8
17-Jul-20,EQ,392.15,400.5,388.75,389.95
16-Jul-20,EQ,394.8,394.8,382.25,391.5
15-Jul-20,EQ,384.8,396.55,383.1,389.75
14-Jul-20,EQ,383,389.15,377,382.5
13-Jul-20,EQ,387.6,391.75,384.05,389.55
10-Jul-20,EQ,388.9,397.8,383.8,385.7
9-Jul-20,EQ,390,390.85,381.5,389.7
8-Jul-20,EQ,402.3,402.45,383,384.95
7-Jul-20,EQ,410,411.1,397.55,400.1
6-Jul-20,EQ,399.95,412.3,397.5,408.25
3-Jul-20,EQ,387.3,397.7,385.05,395.5
2-Jul-20,EQ,387,389.95,381.2,385.5
1-Jul-20,EQ,378.5,386.5,377.15,383.85
30-Jun-20,EQ,382,386.35,375.45,378.35
29-Jun-20,EQ,380.9,383.65,374,378.3
26-Jun-20,EQ,387.9,387.9,379.05,381.65
25-Jun-20,EQ,376.1,392.8,375.1,383.3
24-Jun-20,EQ,387.6,390.95,378.7,380.6
23-Jun-20,EQ,385.9,387,379.35,381.8
22-Jun-20,EQ,367.1,387,367.1,382.9
19-Jun-20,EQ,365,374,361.85,368.95
18-Jun-20,EQ,360,364.9,358.15,363.75
17-Jun-20,EQ,352,361,348.9,359.45
16-Jun-20,EQ,348,358.4,347,354.15
15-Jun-20,EQ,340.35,350.5,336.5,344.2
12-Jun-20,EQ,307.2,348.3,307.2,345.35
11-Jun-20,EQ,345,348.7,329.35,332.2
10-Jun-20,EQ,353,361.35,342.15,343.85
9-Jun-20,EQ,354.5,357.15,347.1,351.25
8-Jun-20,EQ,364.85,368.35,349.55,352.75
5-Jun-20,EQ,359.85,362.9,353.65,359.15
4-Jun-20,EQ,355,363,350.35,355.25
3-Jun-20,EQ,371.1,372.5,352.75,355.55
2-Jun-20,EQ,349,372.95,348.6,364.1
1-Jun-20,EQ,342,354.85,341.05,352
29-May-20,EQ,330,344,322.35,335.9
28-May-20,EQ,325,337.4,323.05,333.1
27-May-20,EQ,322,325,308.25,323.05
26-May-20,EQ,316.95,324.8,310.3,322.5
22-May-20,EQ,312,319,308,314.15
21-May-20,EQ,312.05,326.95,312.05,315.8
20-May-20,EQ,304,310.9,300.55,309
19-May-20,EQ,311,313.9,301.05,303.35
18-May-20,EQ,341,341,302.5,305.8
15-May-20,EQ,343.55,346,333.6,336.1
14-May-20,EQ,335,351.5,334.95,342.35
13-May-20,EQ,348.9,360,342.05,344.9
12-May-20,EQ,329,344.5,321.5,338.15
11-May-20,EQ,319.3,341.4,315,333.8
8-May-20,EQ,324,326.7,310.1,313.45
7-May-20,EQ,321,328.9,316.3,320.75
6-May-20,EQ,303,330,301.55,323.4
5-May-20,EQ,315,321.9,306,308.35
4-May-20,EQ,307,312.8,304.1,310.45
30-Apr-20,EQ,313.5,334.1,311.2,328.35
29-Apr-20,EQ,300.9,311,292.1,307.9
28-Apr-20,EQ,301,304.75,291.35,296.3
27-Apr-20,EQ,298.4,305.4,295.25,299.3
24-Apr-20,EQ,298,302,289.05,297
23-Apr-20,EQ,303,306.9,297.75,298.85
22-Apr-20,EQ,308,311.45,296.2,302.55
21-Apr-20,EQ,303.1,314,293.3,311.05
20-Apr-20,EQ,321.95,321.95,303.05,307.55
17-Apr-20,EQ,290,303.8,283.2,300.95
16-Apr-20,EQ,267.1,280,265.2,276.2
15-Apr-20,EQ,290,298.9,273.6,276.3
13-Apr-20,EQ,307,307,287.1,289.8
9-Apr-20,EQ,288,313.2,287.1,305.8
8-Apr-20,EQ,261.1,288,261,285.9
7-Apr-20,EQ,254,278.2,240.1,264.4
3-Apr-20,EQ,275.05,277.95,251.5,252.95
1-Apr-20,EQ,297.35,297.4,275,279.15
31-Mar-20,EQ,297,302.9,287.05,297.55
30-Mar-20,EQ,295,300.75,287,292.8
27-Mar-20,EQ,328,333,298,303.95
26-Mar-20,EQ,332,342,312.6,322.35
25-Mar-20,EQ,330,347.85,325.15,332.5
24-Mar-20,EQ,310.5,354.75,310.5,339.4
23-Mar-20,EQ,345,370,306,331.35
20-Mar-20,EQ,365.1,383.5,354,379.8
19-Mar-20,EQ,341,386.55,341,363.2
18-Mar-20,EQ,387.55,391.4,352.65,363.35
17-Mar-20,EQ,380,400.8,372.45,385.15
16-Mar-20,EQ,383.5,396.3,376.55,380.65
13-Mar-20,EQ,351,408.65,349.4,403.1
12-Mar-20,EQ,387.95,395.95,366,388.2
11-Mar-20,EQ,397.25,409.4,391.75,403.8
9-Mar-20,EQ,402.15,407.75,388.35,399.7
6-Mar-20,EQ,404.7,416.5,396.25,414.1
5-Mar-20,EQ,413.7,417.65,406.2,413.95
4-Mar-20,EQ,424,428,400.6,409.85
3-Mar-20,EQ,422,430,408.5,422.15
2-Mar-20,EQ,435.55,446.7,412.55,419.35
28-Feb-20,EQ,421,441,418.85,435.7
27-Feb-20,EQ,428,444,422.95,439.6
26-Feb-20,EQ,424.8,437.8,423.55,435.3
25-Feb-20,EQ,422,441.9,409.45,436.4
24-Feb-20,EQ,446.4,448.45,436.25,438.6
20-Feb-20,EQ,440.5,447.9,437.3,446.45
19-Feb-20,EQ,442.95,446.7,434.55,440.7
18-Feb-20,EQ,429,443,424,438.4
17-Feb-20,EQ,436,440.5,428.15,430.45
14-Feb-20,EQ,444.8,447.55,437.1,439.2
13-Feb-20,EQ,450.85,451.5,441.6,444.8
12-Feb-20,EQ,454.8,455.2,444.4,448.05
11-Feb-20,EQ,458.9,461.65,449.4,451
10-Feb-20,EQ,466.2,467.8,454.5,456.2
7-Feb-20,EQ,476.2,479.95,464.75,466.2
6-Feb-20,EQ,464,481,463,473.85
5-Feb-20,EQ,456.15,483,456.15,463.05
4-Feb-20,EQ,472,480.85,450,455.25
3-Feb-20,EQ,457,473.8,454.6,471.3
1-Feb-20,EQ,466,473.5,460.25,463.95
